s_no,asi_circle,monument
1,Agra,Taj Mahal
2,Agra,Agra Fort
3,Agra,Fatehpur Sikri
4,Agra,Akbar Tomb Sikandra
5,Agra,"Mariam Tomb,"
6,Agra,Itimad-ud
7,Agra,Ram Bagh
8,Agra,Mehtab Bagh
9,Agra,Mausoleum 709754 4142 578712 8218 -18.46 98.41 Total
10,Lucknow,Site of Sahet
11,Lucknow,Residency
12,Lucknow,Piprahwa & 46824 18061 38375 19317 -18.04 6.95 Ganwaria Total
13,Jhansi,Gupta & Varah
14,Jhansi,Kalinjar Fort
15,Jhansi,Rani Lakshmi Bai
16,Jhansi,Rani Jhansi Fort 470724 611 521136 625 10.71 2.29 Total
17,Sarnath,Lord Cornwallis
18,Sarnath,Old Fort (Shahi
19,Sarnath,Observatory of
20,Sarnath,Excavated Remains
21,Sarnath,Tomb of Lal Khan
22,Sarnath,Ancient Buddhist 47495 5816 36423 5351 -23.31 -8.00 Site know as Chaukhan di Stupa Total
23,Thrissur,"Bekal Fort,"
24,Thrissur,
25,Thrissur,Fort Palakkad
26,Thrissur,"Fort St. Angelo, 240382 818 242895 1074 1.05 31.30 Kannur Total"
27,Chennai,Group of
28,Chennai,Gingee Fort
29,Chennai,Tiger headed Rock
30,Chennai,"Fort, St. George 24254 5474 24664 7313 1.69 33.60 Total"
31,Thiruchirapalli,"Fort on Rock,"
32,Thiruchirapalli,Moovarkoil
33,Thiruchirapalli,Rock Cut Jain
34,Thiruchirapalli,Tirumalai Nayak's
35,Thiruchirapalli,Natural Caven with
36,Thiruchirapalli,Fort Museum
37,Thiruchirapalli,Fort Vattakottai 114090 242 99669 366 -12.64 51.24 Total
38,Bhopal,Buddhist Caves
39,Bhopal,The Palace in the
40,Bhopal,Hoshang Shah’s
41,Bhopal,Group of
42,Bhopal,Roopmati’s
43,Bhopal,Buddhist
44,Bhopal,Gwalior Fort
45,Bhopal,Buddhist Cave
46,Bhopal,Badal Mahal
47,Bhopal,Caves 1 to
48,Bhopal,Bir Singh Palace 43841 763 42443 943 -3.19 23.59 Datia Total
49,Jabalpur,Ancient site and
50,Jabalpur,Western Group of
51,Jabalpur,"Group of Temple, 50251 145 49323 152 -1.85 4.83 Paramesh var Shiv and Karan Temple, Amarkantak Total"
52,Dharwad,"Durga Temple,"
53,Dharwad,Jaina & Vaishnava
54,Dharwad,Group of
55,Dharwad,"Gol-Gumbaz,"
56,Dharwad,"Ibrahim Rauza,"
57,Dharwad,"Temples & 19913 118 20621 179 3.56 51.69 Sculpture shed, Lakkumdi Total"
58,Hampi,Group of
59,Hampi,Bellary Fort 38270 40 37401 53 -2.27 32.50 Total
60,Bangalore,Daryia Daulat
61,Bangalore,Keshava Temple
62,Bangalore,Palace of Tipu
63,Bangalore,Fortress and 446569 2568 381095 3078 -14.66 19.86 Temple Chitradurga Fort Total
64,Raiganj,Cooch Bihar
65,Raiganj,Hazarduari Palace 983025 1454 906992 1907 -7.73 31.16 Total
66,Kolkata,Bishnupur Temples
67,Kolkata,Matcalfe-Hall 22639 210 32280 225 42.59 7.14 Total
68,Rajkot,"Asokan Rock Edict,"
69,Rajkot,"Buddhisht Caves,"
70,Rajkot,"Baba Pyara Caves, 2895 11 3323 24 14.78 118.18 Junagadh & Khaprakodia Caves Junagadh Total"
71,Vadodara,Champaner
72,Vadodara,"Sun Temple,"
73,Vadodara,"Rani Ki- Vav, Patan"
74,Vadodara,"Rudabai Step 378847 8090 277021 7890 -26.88 -2.47 Well, Adalaj Total"
75,Bhubaneswar,"Sun Temple,"
76,Bhubaneswar,Ancient Remains
77,Bhubaneswar,Rajarani Temple
78,Bhubaneswar,The Hill Containing
79,Bhubaneswar,"Ruins of Buddhist 41188 399 52329 454 27.05 13.78 Temples and Images, Lalitgiri Total"
80,Aurangabad,Ajanta Caves
81,Aurangabad,Ellora Caves
82,Aurangabad,Tomb of Rabia
83,Aurangabad,Daulatabad Fort
84,Aurangabad,"Pandulena Caves,"
85,Aurangabad,Aurangabad Caves 132518 1495 126327 1609 -4.67 7.63 Total
86,Mumbai,Elephanta Caves
87,Mumbai,"Buddhist Caves,"
88,Mumbai,Shaniwarw ada
89,Mumbai,Aga Khan Palace
90,Mumbai,"Cave, Temple and"
91,Mumbai,"Caves, Temples and"
92,Mumbai,"Cave, Temple &"
93,Mumbai,Raigad Fort
94,Mumbai,"Kolaba Fort,"
95,Mumbai,"Old Fort, Sholapur"
96,Mumbai,"Janjira Fort, Murd"
97,Mumbai,Kondiote Caves
98,Mumbai,Lohgad Fort 136790 207 138327 323 1.12 56.04 Total
99,Nagpur,Gawilgarh Fort
100,Nagpur,"Ancient Buddhist 3901 128 3552 92 -8.95 -28.13 Remains, comprising monstery stupa rock sculptures inscriptions etc mansar Total"
101,Chandigarh,Suraj Kund
102,Chandigarh,Sheikj Chillis Tomb 74729 346 81589 217 9.18 -37.28 Total
