period,s_no,asi_circle,monument,domestic_visitors,foreign_visitors,total_visitors
2021-22,1,Agra,Taj Mahal,3294611.0,38922.0,3333533.0
2021-22,2,Agra,Agra Fort,1027462.0,13598.0,1041060.0
2021-22,3,Agra,Fatehpur Sikri,157253.0,2122.0,159375.0
2021-22,4,Agra,Akbar Tomb Sikandra,187182.0,1028.0,188210.0
2021-22,5,Agra,"Mariam Tomb,",17537.0,98.0,17635.0
2021-22,6,Agra,Itimad-ud,90711.0,1927.0,92638.0
2021-22,7,Agra,Ram Bagh,30965.0,95.0,31060.0
2021-22,8,Agra,Mehtab Bagh,86213.0,1653.0,87866.0
2021-22,9,Agra,Mausoleum 709754 4142 578712 8218 -18.46 98.41 Total,5209587.0,60086.0,5269673.0
2021-22,10,Lucknow,Site of Sahet,51796.0,306.0,52102.0
2021-22,11,Lucknow,Residency,111829.0,130.0,111959.0
2021-22,12,Lucknow,Piprahwa & 46824 18061 38375 19317 -18.04 6.95 Ganwaria Total,186778.0,537.0,187315.0
2021-22,13,Jhansi,Gupta & Varah,1636.0,0.0,1636.0
2021-22,14,Jhansi,Kalinjar Fort,88603.0,7.0,88610.0
2021-22,15,Jhansi,Rani Lakshmi Bai,10836.0,0.0,10836.0
2021-22,16,Jhansi,Rani Jhansi Fort 470724 611 521136 625 10.71 2.29 Total,411308.0,65.0,411373.0
2021-22,17,Sarnath,Lord Cornwallis,7086.0,14.0,7100.0
2021-22,18,Sarnath,Old Fort (Shahi,123344.0,201.0,123545.0
2021-22,19,Sarnath,Observatory of,36267.0,28.0,36295.0
2021-22,20,Sarnath,Excavated Remains,328684.0,1617.0,330301.0
2021-22,21,Sarnath,Tomb of Lal Khan,2515.0,4.0,2519.0
2021-22,22,Sarnath,Ancient Buddhist 47495 5816 36423 5351 -23.31 -8.00 Site know as Chaukhan di Stupa Total,519893.0,1955.0,521848.0
2021-22,23,Thrissur,"Bekal Fort,",200127.0,133.0,200260.0
2021-22,24,Thrissur,Mattancherry Palace Museum Kochi,65066.0,1118.0,66184.0
2021-22,25,Thrissur,Fort Palakkad,96142.0,10.0,96152.0
2021-22,26,Thrissur,"Fort St. Angelo, 240382 818 242895 1074 1.05 31.30 Kannur Total",513878.0,1320.0,515198.0
2021-22,27,Chennai,Group of,1142150.0,7532.0,1149682.0
2021-22,28,Chennai,Gingee Fort,188496.0,555.0,189051.0
2021-22,29,Chennai,Tiger headed Rock,1411959.0,8345.0,1420304.0
2021-22,30,Chennai,"Fort, St. George 24254 5474 24664 7313 1.69 33.60 Total",27368.0,4.0,27372.0
2021-22,31,Thiruchirapalli,"Fort on Rock,",829.0,0.0,829.0
2021-22,32,Thiruchirapalli,Moovarkoil,44408.0,49.0,44457.0
2021-22,33,Thiruchirapalli,Rock Cut Jain,530.0,0.0,530.0
2021-22,34,Thiruchirapalli,Tirumalai Nayak's,22800.0,33.0,22833.0
2021-22,35,Thiruchirapalli,Natural Caven with,62622.0,27.0,62649.0
2021-22,36,Thiruchirapalli,Fort Museum,211757.0,113.0,211870.0
2021-22,37,Thiruchirapalli,Fort Vattakottai 114090 242 99669 366 -12.64 51.24 Total,27260.0,1.0,27261.0
2021-22,38,Bhopal,Buddhist Caves,31284.0,76.0,31360.0
2021-22,39,Bhopal,The Palace in the,113132.0,107.0,113239.0
2021-22,40,Bhopal,Hoshang Shah’s,344821.0,92.0,344913.0
2021-22,41,Bhopal,Group of,336231.0,55.0,336286.0
2021-22,42,Bhopal,Roopmati’s,118208.0,171.0,118379.0
2021-22,43,Bhopal,Buddhist,203163.0,209.0,203372.0
2021-22,44,Bhopal,Gwalior Fort,24083.0,65.0,24148.0
2021-22,45,Bhopal,Buddhist Cave,11027.0,6.0,11033.0
2021-22,46,Bhopal,Badal Mahal,35530.0,42.0,35572.0
2021-22,47,Bhopal,Caves 1 to,1271045.0,853.0,1271898.0
2021-22,48,Bhopal,Bir Singh Palace 43841 763 42443 943 -3.19 23.59 Datia Total,18655.0,41.0,18696.0
2021-22,49,Jabalpur,Ancient site and,243475.0,795.0,244270.0
2021-22,50,Jabalpur,Western Group of,293111.0,969.0,294080.0
2021-22,51,Jabalpur,"Group of Temple, 50251 145 49323 152 -1.85 4.83 Paramesh var Shiv and Karan Temple, Amarkantak Total",98363.0,69.0,98432.0
2021-22,52,Dharwad,"Durga Temple,",234156.0,199.0,234355.0
2021-22,53,Dharwad,Jaina & Vaishnava,157634.0,79.0,157713.0
2021-22,54,Dharwad,Group of,447627.0,263.0,447890.0
2021-22,55,Dharwad,"Gol-Gumbaz,",102094.0,20.0,102114.0
2021-22,56,Dharwad,"Ibrahim Rauza,",1047941.0,903.0,1048844.0
2021-22,57,Dharwad,"Temples & 19913 118 20621 179 3.56 51.69 Sculpture shed, Lakkumdi Total",425950.0,1244.0,427194.0
2021-22,58,Hampi,Group of,443213.0,1259.0,444472.0
2021-22,59,Hampi,Bellary Fort 38270 40 37401 53 -2.27 32.50 Total,142935.0,891.0,143826.0
2021-22,60,Bangalore,Daryia Daulat,75793.0,662.0,76455.0
2021-22,61,Bangalore,Keshava Temple,100193.0,976.0,101169.0
2021-22,62,Bangalore,Palace of Tipu,529404.0,3348.0,532752.0
2021-22,63,Bangalore,Fortress and 446569 2568 381095 3078 -14.66 19.86 Temple Chitradurga Fort Total,2287176.0,162.0,2287338.0
2021-22,64,Raiganj,Cooch Bihar,585303.0,329.0,585632.0
2021-22,65,Raiganj,Hazarduari Palace 983025 1454 906992 1907 -7.73 31.16 Total,111814.0,222.0,112036.0
2021-22,66,Kolkata,Bishnupur Temples,119626.0,258.0,119884.0
2021-22,67,Kolkata,Matcalfe-Hall 22639 210 32280 225 42.59 7.14 Total,31685.0,27.0,31712.0
2021-22,68,Rajkot,"Asokan Rock Edict,",0.0,0.0,0.0
2021-22,69,Rajkot,"Buddhisht Caves,",34400.0,33.0,34433.0
2021-22,70,Rajkot,"Baba Pyara Caves, 2895 11 3323 24 14.78 118.18 Junagadh & Khaprakodia Caves Junagadh Total",61303.0,43.0,61346.0
2021-22,71,Vadodara,Champaner,224982.0,603.0,225585.0
2021-22,72,Vadodara,"Sun Temple,",268628.0,228.0,268856.0
2021-22,73,Vadodara,"Rani Ki- Vav, Patan",822620.0,1396.0,824016.0
2021-22,74,Vadodara,"Rudabai Step 378847 8090 277021 7890 -26.88 -2.47 Well, Adalaj Total",672891.0,314.0,673205.0
2021-22,75,Bhubaneswar,"Sun Temple,",98754.0,119.0,98873.0
2021-22,76,Bhubaneswar,Ancient Remains,12385.0,52.0,12437.0
2021-22,77,Bhubaneswar,Rajarani Temple,16316.0,32.0,16348.0
2021-22,78,Bhubaneswar,The Hill Containing,824707.0,777.0,825484.0
2021-22,79,Bhubaneswar,"Ruins of Buddhist 41188 399 52329 454 27.05 13.78 Temples and Images, Lalitgiri Total",138503.0,662.0,139165.0
2021-22,80,Aurangabad,Ajanta Caves,411915.0,911.0,412826.0
2021-22,81,Aurangabad,Ellora Caves,397374.0,536.0,397910.0
2021-22,82,Aurangabad,Tomb of Rabia,204834.0,264.0,205098.0
2021-22,83,Aurangabad,Daulatabad Fort,72661.0,221.0,72882.0
2021-22,84,Aurangabad,"Pandulena Caves,",1293929.0,2673.0,1296602.0
2021-22,85,Aurangabad,Aurangabad Caves 132518 1495 126327 1609 -4.67 7.63 Total,219837.0,1321.0,221158.0
2021-22,86,Mumbai,Elephanta Caves,87182.0,576.0,87758.0
2021-22,87,Mumbai,"Buddhist Caves,",516448.0,478.0,516926.0
2021-22,88,Mumbai,Shaniwarw ada,41150.0,197.0,41347.0
2021-22,89,Mumbai,Aga Khan Palace,173143.0,20.0,173163.0
2021-22,90,Mumbai,"Cave, Temple and",156834.0,150.0,156984.0
2021-22,91,Mumbai,"Caves, Temples and",35790.0,81.0,35871.0
2021-22,92,Mumbai,"Cave, Temple &",172058.0,12.0,172070.0
2021-22,93,Mumbai,Raigad Fort,33073.0,19.0,33092.0
2021-22,94,Mumbai,"Kolaba Fort,",5755.0,5.0,5760.0
2021-22,95,Mumbai,"Old Fort, Sholapur",187947.0,68.0,188015.0
2021-22,96,Mumbai,"Janjira Fort, Murd",9373.0,76.0,9449.0
2021-22,97,Mumbai,Kondiote Caves,1724562.0,3062.0,1727624.0
2021-22,98,Mumbai,Lohgad Fort 136790 207 138327 323 1.12 56.04 Total,9219.0,5.0,9224.0
2021-22,99,Nagpur,Gawilgarh Fort,11125.0,13.0,11138.0
2021-22,100,Nagpur,"Ancient Buddhist 3901 128 3552 92 -8.95 -28.13 Remains, comprising monstery stupa rock sculptures inscriptions etc mansar Total",14651.0,49.0,14700.0
2021-22,101,Chandigarh,Suraj Kund,67602.0,196.0,67798.0
2021-22,102,Chandigarh,Sheikj Chillis Tomb 74729 346 81589 217 9.18 -37.28 Total,3448.0,30.0,3478.0
2021-22,103,Delhi,Khan-I-Khana,299.0,5.0,304.0
2021-22,104,Delhi,Sultan Garhi Tomb,20925.0,132.0,21057.0
2021-22,105,Delhi,Tughlaqabad Fort,1323501.0,5579.0,1329080.0
2021-22,106,Delhi,Red Fort,392378.0,4892.0,397270.0
2021-22,107,Delhi,Humayuns Tomb,1157664.0,8456.0,1166120.0
2021-22,108,Delhi,Qutub Minar,45503.0,152.0,45655.0
2021-22,109,Delhi,Hauzkhas,125545.0,521.0,126066.0
2021-22,110,Delhi,Jantar Mantar,74898.0,627.0,75525.0
2021-22,111,Delhi,Safdarjung Tomb,54145.0,106.0,54251.0
2021-22,112,Delhi,Kotla Firoz Shah,3664640.0,21348.0,3685988.0
2021-22,113,Delhi,Purana Qila 261483 1727 192216 1600 -26.49 -7.35 Total,34640.0,29.0,34669.0
2021-22,114,Guwahati,Ahom Raja’s,46408.0,22.0,46430.0
2021-22,115,Guwahati,Kareghar of Ahom,39211.0,22.0,39233.0
2021-22,116,Guwahati,Ranghar Pavillion,2606.0,2.0,2608.0
2021-22,117,Guwahati,Bishnudol Temple,157674.0,127.0,157801.0
2021-22,118,Guwahati,"Group of Four 47987 86 76896 102 60.24 18.60 Maidams Charaideo, Sibsagar Total",65676.0,1057.0,66733.0
2021-22,119,Goa,Upper Fort Aguada,440549.0,648.0,441197.0
2021-22,120,Hyderabad,Charminar,946972.0,1511.0,948483.0
2021-22,121,Hyderabad,Golkonda Fort,1473467.0,2265.0,1475732.0
2021-22,122,Hyderabad,Warangal Fort 108267 242 106447 280 -1.68 15.70 Total,147549.0,152.0,147701.0
2021-22,123,Jaipur,"Ancient Site,",57881.0,817.0,58698.0
2021-22,124,Jaipur,Baori at Abhaneri,238434.0,996.0,239430.0
2021-22,125,Jaipur,Deeg Bhawan 39755 245 37987 366 -4.45 49.39 Total,590389.0,288.0,590677.0
2021-22,126,Jodhpur,Chittaurgarh Fort,324707.0,257.0,324964.0
2021-22,127,Jodhpur,Kumbhalgarh Fort,1372020.0,568.0,1372588.0
2021-22,128,Jodhpur,Marble Pavillion 547782 150 370056 152 -32.44 1.33 and balustrade on the Ana Sagar Bund and ruins of the marble hammam behind the Ana Sagar Bund Total,52402.0,176.0,52578.0
2021-22,129,Leh,Ancient Palace Leh,81013.0,11.0,81024.0
2021-22,130,Patna,Remains of,46095.0,28.0,46123.0
2021-22,131,Patna,Ancient site of,179597.0,281.0,179878.0
2021-22,132,Patna,"Excavated Site,",33322.0,0.0,33322.0
2021-22,133,Patna,Ancient Site of,506293.0,337.0,506630.0
2021-22,134,Patna,Sher Shah’s Tomb 302528 154 311750 231 3.05 50.00 Total,53049.0,1.0,53050.0
